TransactionID;Date;Amount;Currency;Description
T0001;2023-11-08;986.55;CAD;Transaction;1
T0002;2023-02-27;839.16;GBP;Transaction;2
T0003;2023-01-13;303.76;CAD;Transaction;3
T0004;2023-10-28;467.47;GBP;Transaction;4
T0005;2023-05-09;629.6;CAD;Transaction;5
T0006;2023-05-16;350.95;GBP;Transaction;6
T0007;2023-01-18;793.34;USD;Transaction;7
T0008;2023-09-09;603.82;USD;Transaction;8
T0009;2023-08-22;649.74;EUR;Transaction;9
T0010;2023-11-20;834.37;USD;Transaction;10
T0011;2023-12-18;946.14;USD;Transaction;11
T0012;2023-11-17;182.17;EUR;Transaction;12
T0013;2023-06-04;852.25;USD;Transaction;13
T0014;2023-01-25;174.86;EUR;Transaction;14
T0015;2023-08-05;245.05;GBP;Transaction;15
T0016;2023-04-27;775.04;EUR;Transaction;16
T0017;2023-07-16;38.36;EUR;Transaction;17
T0018;2023-02-16;627.55;EUR;Transaction;18
T0019;2023-11-17;220.08;GBP;Transaction;19
T0020;2023-01-18;834.27;EUR;Transaction;20
T0021;2023-09-12;720.13;CAD;Transaction;21
T0022;2023-02-13;445.31;CAD;Transaction;22
T0023;2023-06-18;902.93;USD;Transaction;23
T0024;2023-03-18;579.54;EUR;Transaction;24
T0025;2023-07-11;689.83;USD;Transaction;25
T0026;2023-08-22;700.71;USD;Transaction;26
T0027;2023-09-13;598.34;USD;Transaction;27
T0028;2023-07-01;854.03;EUR;Transaction;28
T0029;2023-06-20;155.68;CAD;Transaction;29
T0030;2023-01-12;882.8;USD;Transaction;30
T0031;2023-10-11;902.55;EUR;Transaction;31
T0032;2023-05-26;877.21;CAD;Transaction;32
T0033;2023-12-04;62.01;CAD;Transaction;33
T0034;2023-12-14;525.74;USD;Transaction;34
T0035;2023-01-18;207.27;CAD;Transaction;35
T0036;2023-06-28;78.86;CAD;Transaction;36
T0037;2023-12-23;91.25;CAD;Transaction;37
T0038;2023-10-16;907.5;CAD;Transaction;38
T0039;2023-05-17;762.14;GBP;Transaction;39
T0040;2023-02-24;418.37;CAD;Transaction;40
T0041;2023-06-25;135.83;CAD;Transaction;41
T0042;2023-04-01;42.26;EUR;Transaction;42
T0043;2023-03-27;859.67;EUR;Transaction;43
T0044;2023-10-11;793.94;GBP;Transaction;44
T0045;2023-06-12;986.43;GBP;Transaction;45
T0046;2023-10-17;80.97;CAD;Transaction;46
T0047;2023-09-23;661.59;EUR;Transaction;47
T0048;2023-08-25;89.19;EUR;Transaction;48
T0049;2023-11-12;240.12;EUR;Transaction;49
T0050;2023-09-21;197.4;USD;Transaction;50
T0051;2023-11-21;611.14;USD;Transaction;51
T0052;2023-02-12;463.21;EUR;Transaction;52
T0053;2023-11-27;219.14;GBP;Transaction;53
T0054;2023-06-07;295.46;CAD;Transaction;54
T0055;2023-02-12;603.91;GBP;Transaction;55
T0056;2023-11-09;780.01;GBP;Transaction;56
T0057;2023-11-21;437.09;GBP;Transaction;57
T0058;2023-04-11;728.85;EUR;Transaction;58
T0059;2023-07-16;126.68;CAD;Transaction;59
T0060;2023-08-08;462.27;CAD;Transaction;60
T0061;2023-01-05;116.21;EUR;Transaction;61
T0062;2023-12-26;477.89;EUR;Transaction;62
T0063;2023-09-11;212.29;GBP;Transaction;63
T0064;2023-08-07;547.21;EUR;Transaction;64
T0065;2023-09-26;523.11;USD;Transaction;65
T0066;2023-08-02;522.11;EUR;Transaction;66
T0067;2023-05-13;984.25;EUR;Transaction;67
T0068;2023-12-25;113.69;USD;Transaction;68
T0069;2023-10-12;407.13;USD;Transaction;69
T0070;2023-03-27;943.11;USD;Transaction;70
T0071;2023-04-06;693.19;GBP;Transaction;71
T0072;2023-08-05;830.33;USD;Transaction;72
